Titre,Date,Description,Couleur
Kéto,29 mai,festival les contes de la grande bleue théâtre Agde (34),bleu-keto
Voyages sonores,18 juillet,camping Huttopia Dieulefit (26),vert-sons
Kéto,23 juillet,centre social Colluci (26),bleu-keto
Voyages sonores,1er août,camping Huttopia Dieulefit (26),vert-sons
Kéto,2 août,camping Huttopia St Martin d'Ardèche (07),bleu-keto
Kéto,04 août,camping Huttopia St Martin d'Ardèche (07),bleu-keto
Voyages sonores,15 août,camping Huttopia Dieulefit (26),vert-sons
Kéto,17 août,camping Huttopia Vagnas (07),bleu-keto
